level_1_region_code	level_1_region	level_2_region_code	level_2_region
MX-CMX	Ciudad de Mexico	NA	NA
MX-AGU	Aguascalientes	NA	NA
MX-BCN	Baja California	NA	NA
MX-BCS	Baja California Sur	NA	NA
MX-CAM	Campeche	NA	NA
MX-COA	Coahuila	NA	NA
MX-COL	Colima	NA	NA
MX-CHP	Chiapas	NA	NA
MX-CHH	Chihuahua	NA	NA
MX-DUR	Durango	NA	NA
MX-GUA	Guanajuato	NA	NA
MX-GRO	Guerrero	NA	NA
MX-GRO	Guerrero	NA	NA
MX-GRO	Guerrero	NA	NA
MX-HID	Hidalgo	NA	NA
MX-HID	Hidalgo	NA	NA
MX-HID	Hidalgo	NA	NA
MX-HID	Hidalgo	NA	NA
MX-HID	Hidalgo	NA	NA
MX-JAL	Jalisco	NA	NA
MX-MEX	Mexico	NA	NA
MX-MIC	Michoacan	NA	NA
MX-MOR	Morelos	NA	NA
MX-MOR	Morelos	NA	NA
MX-MOR	Morelos	NA	NA
MX-MOR	Morelos	NA	NA
MX-MOR	Morelos	NA	NA
MX-NAY	Nayarit	NA	NA
MX-NLE	Nuevo Leon	NA	NA
MX-OAX	Oaxaca	NA	NA
MX-PUE	Puebla	NA	NA
MX-QUE	Queretaro	NA	NA
MX-ROO	Quintana Roo	NA	NA
MX-SLP	San Luis Potosi	NA	NA
MX-SIN	Sinaloa	NA	NA
MX-SON	Sonora	NA	NA
MX-TAB	Tabasco	NA	NA
MX-TAM	Tamaulipas	NA	NA
MX-TLA	Tlaxcala	NA	NA
MX-VER	Veracruz	NA	NA
MX-YUC	Yucatan	NA	NA
MX-ZAC	Zacatecas	NA	NA
NA	NA	01	AGUASCALIENTES
NA	NA	02	BAJA CALIFORNIA
NA	NA	03	BAJA CALIFORNIA SUR
NA	NA	04	CAMPECHE
NA	NA	07	CHIAPAS
NA	NA	08	CHIHUAHUA
NA	NA	09	DISTRITO FEDERAL
NA	NA	05	COAHUILA
NA	NA	06	COLIMA
NA	NA	10	DURANGO
NA	NA	11	GUANAJUATO
NA	NA	12	GUERRERO
NA	NA	13	HIDALGO
NA	NA	14	JALISCO
NA	NA	15	MEXICO
NA	NA	16	MICHOACAN
NA	NA	17	MORELOS
NA	NA	18	"NAYARIT"
NA	NA	19	NUEVO LEON
NA	NA	20	OAXACA
NA	NA	21	PUEBLA
NA	NA	22	QUERETARO
NA	NA	23	QUINTANA ROO
NA	NA	24	SAN LUIS POTOSI
NA	NA	25	SINALOA
NA	NA	26	SONORA
NA	NA	27	TABASCO
NA	NA	28	TAMAULIPAS
NA	NA	29	TLAXCALA
NA	NA	30	VERACRUZ
NA	NA	31	YUCATAN
NA	NA	32	ZACATECAS
NA	NA	000	Nacional
